Tweet,Alay Count,Abusive Count
bener2 politikus busuk luh zonk pak mending disuruh diam dulu nih congor jongosnya bapak karena semakin banyak ngomong saya semakin yakin elektabilitas bapak semakin nyungsep dan orang makin gak simpati sama bapak,5,1
dia hanya teman mainku sewaktu kecil dan cinta demikian tidak masuk kedalam hati kata orang cinta seperti ini adalah cinta monyet,1,1
yer aku maw ikutan nanya ah kenapa kucing kalau eek dikubur,3,0
milea kamu senang mikirin aku dilan senang dan bingung bingung cara mahu berhentinya milea kamu mahu berhenti mikiri,4,0
soalnya la ni bukannya racist tapi soalnya apa kita nak jawab kalau allah tanya nanti apa kita dah buat utk agama dia pening kepala oo kita nanti tuan tuan kalau tak perati dulu benda yg first ni,8,0
gimana lae tapi ah bentar lagi aja kok kan 2019gantipresiden,3,0
kuliner arabpun menjadi bagian dari akulturasi budaya arab indonesia yang terjadi sejak ratusan tahun lalu,0,0
jihad bukan melulu soal perang terorisme dan bom bunuh diri jihad paling besar adalah jihad melawan hawa nafsu dalam diri,0,0
rama biasa bngt ngetweet sendiri bales sendiri kampang,3,1
udah anjir udah kerja sedih karna inget masa kuliah,4,1
kamu bau monyet g,1,1
ekonomi meroket orang miskin berkurang tp msh jg bagi2 sembako,4,0
kenapa pada jadi idiot semua ya apakah ini azab dari allah,0,1
daripada menghentikan kpk lebih baik bubarkan dpr rakus yg tdk berguna untuk rakyat,4,0
jatim anti hoax pilkada damai deklarasi anti hoax guru smak st yusup,5,0
sebelum memulai lebih baik kita baca surat yasin 3x dan membaca alfatihah agar dijauhkan dari among yang terkutuk bismillah,2,1
wakakak enggaklah muka ganteng kok dibuat taplak meja,1,1
biar cepat mati cucumu sontoloyo,0,1
heran gw mah orang berhijrah pake jilbab masih ada dinyinyirin yang gak cocok lah aura gak keluar lah gak cantik lah mon maap lu kira pake jilbab kontes kecantikan pake ngomong aura gak keluar segala hhhh cebong mana ngerti,15,1
john mayer ini suka sarap sarap ngegemesin,1,2
berarti sekarang lu lagi nyindir dong bangsad kau,4,0
nama rizieq shihab status tersangka kasus konten pornografi diduga mendukung anies sandi,0,0
dekalarasi pilkada 2018 aman dan anti hoax perangkat desa balongtani jabon,3,0
wah ini bener foto2 asma dewi yg kata polisi mentransfer 75jt ke grup saracen ya yg main busuk anies sandi di kapolri,6,0
banyak org kebacut gawe agamanya sing koyok ngene kok bu neno ga muncul sih belain yg ditipu kuduuu ikhlass sabarrr pasrahhh krn sing nipu sesama muslim bego dipelihara cpd,11,1
belajar la dari negara tetangga vietnam terbukti korupsi hukuman mati pasti mikir tu tikus2 rakus nya indonesia sby aja ga berani ditumpas,7,0
yeee siapa juga yg bercita2 jd gadun kak ben sompret minimal bawa alat v l lah rank mosok gitu aja nanya,8,1
bukan raisa pak de tapi freeport jatuh ketangan asing jahh,3,1
ahok memilih pemimpin berdasarkan agama melanggar konstitusi sebaiknya babi ini di bungkus aja congornyapecah belah umat beragama,2,1
sekali setahun selama ratusan tahun masyarakat adat baduy menyerahkan hasil panen seba atau seserahan ke bapa gede yakni bupati lebak dan gubernur banten sebabaduy2018,2,0
even dah setiap hari tengok pon still tersenyum you re so cute,3,0
klo smua pengurus partainya di penjara siapa yg jdi dpr mbak ganti sya aja ya p,7,0
pinter ya otaknya onta gue,1,1
hahahaha cinta itu buta say,2,1
intine gak usah lah buka2 kolom komentar isine manusia2 bloon seng gak isok ngempet atine,8,0
ak family islamic yg kau tu family kapir laknat ke bodoh kau dh laaa hidup menipu kesian mak bapak kau dah didik dengan adab adab yg kau agungkan sekali kau membesar dengan perangai xguna kau menipu sana sini bohong sana sini matilanak,16,1
itulah ciri ciri kaum bahlul sumbu pendek alias jahiliah dan blegug alias guoblog bin bloon sister biasa orang2 nya extrimis dan anarkis yg model seperti itu,6,0
ih asli lah tmn2 gue mah banyak yg gt sdh tak asing lagi malah,5,1
tapi aku sekarang bersyukur banget sih mereka berdua udah debut bareng npc juga debut bareng anak yuehua china di nex7 harus banyak makasih nih sama zhengting sama justin karena mereka berdua aku jadi suka idol producer dan berakhir jadi bucinnya koh,7,0
ya trs knp kok jdi lo ngatur2 instastory rangorang bawel amat jadi cebong,7,1
di rezim ini sekjen parai komunis vietnam digelar karpet merah di istana,1,2
eh banci teriak kofar kafir lo aja masih suka coli muncrat kemana mana teriak itu mulu berisik cong dasar mulut banci yahhhh,3,3
yg salah cuma kaum cebong lah situ kaum cebong bukan,1,2
paling jg itu2 lagi yg bikin hoax gak jauh bani kampret,5,2
menakutkan pembicaraan mengenai calon presiden ri hanya seputar bagaimana cara menang pemilihan presiden bukan mengenai siapa yang memiliki program pembangunan terbaik pilpres2019,1,0
orang autis itu biasanya punya kemampuan yang lebih daripada orang normal bot,0,1
jokowi terkenal hanya di kawasan kolam kodok,0,0
ceramah ustad tae onta,1,1
yeyy hari ini dpat cogan d azar brondonglokal kontollokal kontol kontolbrondong prank,7,1
tai wkwkw nyesel kan lu,3,1
sama ak asing g,2,1
terimakasih ustadz sudah bersuara tentang radikal radikal ini entah apa yang ada dalam pikiran rejim mesjid radikal kampus radikal dosen radikal padahal tempat tersebut pijakan peradaban memangnya mau menghancurkan indonesia,2,1
ini mark yg milih sireena matanya lagi picek sebelah apa,4,1
bentar yaa kuinget lagi dia agak sipit gt yas trs rambutnya cepak hampir gundul gt wajahnya oval udah gt yg ak inget wajahnya blur di ingetanku,12,1
ingat gak dengan demo teroris botak myanmar arah nya mau turunkan jokowi,1,0
kau memang cacat,1,1
kn udh d kirimn kontol aq fto memek km mna,7,2
pemerintahan jokowi yg diktaktor dan otoriter ini terbukti telah memakai tangan kpk untuk mengkriminilisisi lawan lawan politik,3,0
jadi memang cara2 pilkada dki digunakan di jawa tengah,3,0
ayat ayat yang dingajikan rampasan halal perangi bunuh penggal kafir cocok2 penis semuanya merusak bangsa,1,1
takut gendut y dan ga ada co yg lirik ya begitu lah cowo kalau punya pasangan pun belom tentu bisa ngegodain cwe lain ya beda kalau artis sama artis psanganya kalau artis sama pasangan biasa ya beda lagi gayanya,8,1
cebong sana sini cari simpatisan dan popularitas,0,1
pilkada 2018 indonesia kamoanyeberadap tanpacacimakidanfitnah viralkan viral,3,0
bacalah muhammad mencatut nama tuhan untuk perbuatan setan bung fahri,0,1
ternyata setelah dipikir dan disaring sama sari wangi teh kantong bundar kamu kaya ampas teh bisanya cuma nyisain gatel di tenggorokan dan gabisa bikin adem tenggorokan,4,1
11 gb raib dicuri oleh providernya sendiri kan kampret,1,1
percayalah pada setan yang terkutuk karena benarlah kami jahat dan tugas kami memang begitu tapi jangan selalu menyalahkan kami jika kalian berbuat salah,0,2
tidak bisa itu kata siapa mas macam tra pernah lihat bule saja di papua cuma ya ada prosedur lah yabg harus dipatuhi kalau itu ditaati boleh boleh aja beberapa haei lalu saja sa liat asing di j,4,1
galau iya nih abis diputusin pacar gw donk ga pernah diputusin hebat apa rahasianya ga pernah pacaran gmana diputusin asu,10,0
antek antek umak nya biar apa gituh kikituan teh,2,2
dan bibirmu masih bilang negara dijual ke asing segera ambil wudhu dik nanti bisa gila,0,2
muhammad fahmi kok di friend list antum ada orang goblok amp fanatik buta tydack barokah ya akhi klo ana nemu orang kayak gitu auto removed,8,2
skip aja ya bikin mata gua makin sipit,2,1
jam segini waktunya banci mangkal taukk,1,1
edan gini mainnya pengaruh lord atep dimainkan melendot gini,2,1
indonesia skrang lg menterjemahkan keinginan cina,3,0
lagi nyari tuyul unn unnie lagi apa,2,1
potong onta sepuluh cukup tydack,1,1
edan sih markli ku jadi senyum2 sendiri ngeliatin hp,3,1
tetangga kiri rumah meninggal malam ini kebaktian teras rumah dipake pasang tenda jg di depan yang pasang tenda jg pak haji mushola yg malah tetangga sebelah kanan eh itu kan kristen,5,0
golongan muda yg tak merasa zaman rejim mahathir lebih 15 tahun dahulu,1,1
modal cocot doang juga bisa saya mas,0,1
prabowo yang memaksakan diri sama pendukung ultrasnya dikirain opsi presiden cuma prabowo doang kali,2,0
rlt saran dong aku dpt tugas dr dosen ttg toleransi beragama dalam pilkada menurut kitab suci bantuin guys,5,0
ini emot apaan kunyuk,0,1
mau dikatain anjing ya,1,1
demi saksi bisu diantara kita dulu aku tak pernah mau menjadikannya abu,0,1
baru baca sarap kali,0,1
typingnya ganteng ga banci jago dikit dong,3,1
kakya slow udik nya kelak tunggu hau hahahahaa,1,1
lt pacar lesbi bokep teen porn xxx,2,2
jika tidak bisa membangun kabinet yang mampu meningkatkan daya beli maka lengserkan,0,0
keren ini wakil gubernur yg pro difabel colek,1,0
baca deh qs al maidah 48 al qur an adalah kitab suci trakhir dr smua kitab2 suci yg prnh allah trunkn yg mna al qur an mnjdi kiblat semua kitab2 suci sblumnya jdi scara logika rg sdh menistakan agama islam,16,0
alhamdulillah semenjak pak jokowi jadi presiden sudah banyak jln tol yg dibangun contohnya jln tol trans kalimantan dan jln tol di sulawesi tengah jln tol dikedua daerah ini pintu gerbangnya sengaja dibuat sama bahwa itu hasil karya jokowi tapi kok mirip,6,0
berantem lagi nih apalah gue yang multifandom tapi benci sama fans yang terlalu membangga banggakan idolnya lol bahkan gua juga benci sama beberapa carat yang notabenenya selalu pamer eh ini loh seventeen blablabla eek kucink so kalo emang dimute ya,14,0
ketua umum pan menyatakan dirinya siap maju sebagai calon presiden republik indonesia pada pilpres 2019,2,0
knapa ga sekalian aja ada islam nusantara kristen katolik nusantara kristen protestan nusantara hindu nusantara budha nusantara dan agama lain di indonesia ada nusantara nya jadi kan nkri banget gt loh,7,0
tadi i confused gila bila instructor tibe2 bbual in chinese to me aku step mne nya phm uh cing cong ling long ding dong,4,1
protestan dr amerika katolik dr roma begitukah ada yg bs jawab krn setau saya tdk seperti itu,7,0
betul yang nggak suka agama dalam politik itu nggak salah suka makan babi minum minuman keras dan memilih pemimpin nasrani dan yahudi jadi pemimpin dan sp3 keluar karena tidak terbukti zina nya yang ditinggal zina 7 tahun terbukti,3,1
yg paling mirisnya mereka tuh cowo bertiga anj anj anj anj anj cowo loh sanggup ya mulutnya ngerumpi terus gbisa diam kaya congor bebek sampe film nya habis anjiiirr kesal ke ubun ubun dah ketahan dlm hati karena pasti ga enak jg ikutan emosi apalag,19,1
amit amit udah doer burik kriput diposting anjing juga ogah ngliatnya jijik,4,3
ini masih cacad bgt ngeditnya loh tapi makaih yaaa huhuu,7,0
tiada rotan akarpun jadi tiada pergantian presiden pergantian capres pun jadi,1,0
bom djia,0,0
bwahahahhahha antek asing lo pikir lo bisa kaya dengan memisahkan diri dr indonesia jd antek pengeruk bumi iya lo mah palibg dianggap jongos dasar mental penjilat lo pada,10,3
status dukung gerakan matikan lilin untuk ahok gubernur sebut akun facebook di hack,0,0
satu persatu antek orba muncul kepermukaan pedih memang gk bisa lagi korupsi berjemaah spt jaman suharto dan sby,5,1
kedua alis terangkat samar ia tampak asing atas bahasa yang kau gunakan okay ia membalas berganti dengan bahasa inggris yang dikata merupakan bahasa universal,2,1
chinese pasrahan becek suka teriak doyan ngewe sering jg dpt yg squirt,5,1
aku akan kembali ke regim diet ala ala komunis aku,0,1
lebih tidak percaya lagi kpd keislaman presiden fiksi,1,0
banteng lebih ngeri lagi bung sarangnya komunis,0,1
bagi sembako dan bagi sertifikat aja sudah diambil alih sama pak joko masa dikasih kerjaan yang lebih penting malah mau lempar lg ke gubernur,3,0
akhirnya kena bacot lg,1,1
usir cina dri nkri wni keturunan cina diskrening dulu,4,0
banyakin bersyukur aja syukuran ga dikasih cacat yg terlalu aku insecure tapi hasilnya minder malah liat yg lebih cantik kok kamu malah kesel,8,1
makin tua makin tidak berjiwa miskin kata miskin kalimat sampai2 melukai perasaan para alim menarilah diatas puisimu yg dibisikkan oleh iblis laktatullah yg sdh melekat pd jiwamu jika jiwa tk lagi berfungsi hati tak lagi tersentuh maka bersiaplah untuk menerima azab allah swt,8,1
kristen nusantara wohh malah bisa disebut kristen provinsi hkbp gbkp gkps contoh dari sumut gkj gkp dari jawa masih banyak lagi malah haha pake doa bahasa masing masing sama unsur budaya masing masing bisa di masukkan haha,9,0
cnnindonesia presiden jokowi mencoret 14 proyek dari daftar setelah memutuskan ingin lebih realistis mengejar pembangunan proyek strategis nasional proyek apa saja yang dihilangkan,1,0
berita lokal untuk yang tinggal di margonda dan sekitarnya ditemukan tas mencurigakan di barel diduga berisi bom jalan ditutup komentar temen gue ngapain ngebom barel isinya juga anak kosan yang makan mie instan semua fyi doi kesel soa,7,0
yeuh mentalita sunda sib g club g pendukung kunyuk kabeh,6,1
myanmar kafir budha teroris,1,1
apa vin gimana gimana mata gue budek gabisa baca,3,1
ganyang pki,1,0
ini media milik cina itu ya usir aja biang perpecahan,1,0
3 ya aku seorang katolik sejak kecil tidak ada alasannya mungkin karena orangtua,1,0
video mujahidin menyerang pasukan teroris budha di myanmar,1,0
kristen woles aja prof dri timur sampe barat namanya beda2 menyesuaikan tiap daerah termasuk tata cara beribadah nya tetapi masalah keyakinan semua sama kristen nusantara,5,0
jadi penasaran proses dia menulis teknik dia menulis itu seperti apa kenapa dia bisa begitu mudahnya bikin narasi deskripsi yang bajingan metode dia riset itu yang bagaimana duh weslah pokoknya,2,1
bodoh dasar noob lah ramos ni jijik,1,3
sekarang kalian lihat sendiri bagaimana rezim ini ingin menjual semua aset bangsa lengserkan jokowi garuda bangkrut,0,1
bagaimana dengan hadits yang mengatakan bahwasanya rasulullah pernah membeli sebagian makanan dari orang yahudi dengan cara hutang ditunda dan menggadaikan perisai nya,1,0
mari diborong diborong dihabiskan untuk mbantu fakir dan umat yg dimiskinkan pengetahuannya oleh yg ngakunya ulama diborong diborong diborong,4,0
kalo dari ktp kita tahu ada mayat agamanya kepercayaan 1 jgn diurusin biarin yg se kepercayaan yg urus 2 kalo agamanya jelas beri penghormatan 3 biar diurus negara krn negara punya catatan kepercayaan di indonesia mgk ratusan ribu,10,0
kalo wanita2 jawa sdh mau membuang tradisi sanggul dan kebaya ntar malah yg melestarikannya adalah wanita2 tionghoa dari singapura dan malaysia pakaian kebaya disono pakaian yg dianggap penting dan anggun,8,0
yg memblow up jokowi itu adalah media media tv dan koran milik orang2 china yg notabene kafir semua coba aja cek dilapangan,7,1
bibit lgbt sudah tumbuh sejak sma,1,1
calon gubernur sumatera utara nomor urut 2 djarot saiful hidayat tegaskan tidak akan membagi bagikan uang pada pemilihan gubernur dan wakil gubernur sumatera utara tahun 2018 sumutbersih gubernurzamannow djarotsihar2 sumutpilih2djoss pdi perjua,7,0
jadikan aku antek antek mu gabut exo,1,2
tolol jijik,0,2
strategi kotor pks cebong manapun udh apal njing,4,1
mahasiswa fkm umi diwajibkan budaya literasi,1,0
saya dukung 200 pernyataan najwa soal kpk lebih baik dpr kita bubarkan,2,0
ekspor cebong ajalah,1,1
harus baliiik kalo ngga titit kamu ntar malem ilang,5,1
ada maksudnya mungkin yang orang katolik malah kursus dulu sebelum nikah klo tujuannya positif gw dukung,2,0
6 presiden juga menginginkan laporan dari jajaran terkait mengenai detail lain seperti persiapan infrastru rakyatb3rsamajkw,2,0
iya monyet2 juga sedih kandang orang utan yg ada air disekelilingnya jg parah sih kotoe bgt orang utan nya gakliatan ntah kmana kaya film rise the planet of the apes iya yg danau dkt kandang buaya pun kaya rawa2 gt kalo dulu kan ada w,16,1
kelamaan baangg jika 2109 2019gantipresiden,2,0
sekarang banyak sekali orang yang membuat catatan di jurnal penelitian agama sosial budaya mereka mengenai nabinabiafrika yang bahkan saya sebagai pembawa jurnal belumlah sampai sejauh itu perjalanan penelitian saya sebagai orang yang di anggap seb,1,0
emot nete yang bener aja lo,3,1
apakah sambil jambore mereka mengaji ayat penggal kafir bung ketua umum icmi,1,1
ga apa2 pak kok sy sih yakin kalo yg minta impor adalah bpk atau pak itu sah2 aja dan kalian tetep bukan antek aseng tetap semangat ya pak yg lain jgn ikut2an minta impor deh krn yg lain belum dpt,18,1
hanya orang islam yang bodoh dan goblok yang memilik ahok debatfinalpilkadajkt,1,2
orang yang gaung gaungin kampanye pribumi berkuasa itu sama kayak white nationalist di poland yang kampanyein supremasi kulit putih sama sama relijius fasis bedanya judul aja disana temanya katolik kulit putih disini islam pribumi,8,0
wah kemunduran 6 thn lalu kesimpulannya udah bubarkan kpk,3,0
pak pernyataan din syamsuddin harus jadi pintu masuk mencabut ijin semua pendidikan islam,1,0
aliansi dajjal freemason membuat gaduh disekte indonesia meluncurkan tokoh perpartaian untuk berteriak menghina islam,1,0
gila yah ini rezim jongos cina,1,2
apanya yang kebuka kemunaqikannya,1,0
saya beli barang dan dikirim barang yg cacat bagaimana cara tukar barang ya saya sudah komplain sih lewat ulasan tetapi belum direspon,1,1
bukan basa basi itu keluar dari hati 2019gantipresiden,1,0
bani selangkangan cabol,1,1
terdapat satu kajian di mana bani jawi atau pun bangsa melayu itu berasal daripada keturunan nabi ibrahim as dari isteri ke 3 yang bernama siti qaturah atau katurah di mana banyak tertulis di kitab kitab kuno yahudi katurah bermaksud kemenyan atau wangi,0,1
resiko terkena pneumonia tinggi akibat vape ini penjelasannya kedaulatan rakyat budaya penelitian berita,1,0
block aja lah si bencong asu cuma main upload screenshot mah gue juga bisa bencong tolol v laki itu ketemu dan adu jotos bukannya malah nyinyir dan upload screenshotan v dasar bencong kontol,8,5
teman2 sd gw yg smpnya di katolik terbagus itu cerita soal olimpiade ini itu gw di smpn terbagus masuk kelas terbaik malah ga tau,7,0
di alquran tertulis orang kafir kyak lu wajar gak tau sih silahkan dibaca itu diturunkan juga untuk lo kok agar lo mendapat petunjuk,6,1
agenda yahudi hati2 semua,1,0
selamat hari kartini majulah perempuan indonesia harikartini harikartini2018,2,0
gaya pengumpylan masa pki,2,0
nggak kok kakak sayang sekolah aku juga sekolah katolik tapi ada 5 agama kok terus tiap minggu ada acara per agama masing masing kak goodluck kak,2,0
sby prabowo 2019gantipresiden menang mutlak chopper balik ke solo om,2,0
ko jokowi prabowo lah sekarang rayat kecil susah listrik aja tambah mahal,3,0
kom3 menkumham pernah kita debat uu pilkada dulu diketok pendekatan waktu itu presiden mengeluarkan perppu tapi skrg ini presiden tdk menandatanganinya,7,0
kenapa setelah peristiwa 98 prabowo diberhentikan dari tni dan kabur ke jordania ada yg bisa kasih penjelasan,2,0
universitas islam rohingya di maungdaw dibakar teroris budha 12 9,1,0
apakah kita menuntut si penista ini diadili krn dia orang kristen sama sekali tidak krn islam tdk pernah membenci krn beda tahanpenista,6,0
harmonisnya tata krama pergaulan masyakat kampungku meskipun berbagai budaya yg melatar belakangi kami nyanyian serta canda canda temanku nikmatnya sajaian hidangan masakan dan minuman yg kembali harus tak lagi ku rasakan,3,0
mengenal laika anjing pertama yang mengorbit bumi,0,1
sekarang bulan juli ya berarti ulangtahun ku 5 bulan lagi bulan desember tanggal 25 desember 2018 ulangtahun ku pas hari natal berarti ulangtahun ku di rayakan orang kristen sedunia,3,0
dengerin cerita ttg exodus etnis tionghoa 1959 dampak pp 10 keluarganya salah satunya tp dia msh merasa sgt indonesia meski besar di cina dia lbh nyaman dg sesama tionghoa yg dr indonesia,10,0
masalahnya 80 rakyat indonesia udah tau bahwa jokowi ga mampu pimpin ri,2,0
human rights ni agenda yahudi utk mhalalkan yg haram dlm islam kita patut tau allah rights hak allah jaga hak allah insyaallah semua terpelihara,6,0
sarap nih orang udh salah bego bukanya malu,1,2
anjing polisi polisi anjing keparat,0,3
anies sandi gunakan produk saracen untuk kampanye,0,0
5katauntukhariini ahoker goblok tuntut lengserkan jokowi,1,1
kalau aparat itu dibayar dg uang rakyat dan kerja utk rakyat kalau keparat dibayar dg uang rakyat kerjanya ngebacot provokasi rakyat,4,1
sampai detik ini si masih tetap bertahan dengan pernyataan nya tsb yg mengatakan kalau kitab suci adalah fiksi dan fiktif ini betul2 baru d n aidit malah dia tantang umat islam 240 juta orang di negeri ini lalu mau kita apakan ini orang,6,0
bubarkan aja kpk ternyata lemah harusnya di perkuat di ptun ini malah batal artinya bohong ott,3,0
haha memaki untuk melawan mah harus drpd ditindas pemimpin munafik melindungi penista agama dll agama no 1 islam taubat rot,4,1
masih yakin ini president 2019gantipresiden wajib gimana pendapat mohon pencerahannya prof,3,0
4 agama yaitu islam katolik kristen dan budha di desa juga terdapat masjid greja untuk umat katolik greja untuk umat kristen dan wihara,3,0
agama jalan hidup benar bukan nyembah2 allah swt dikira tuhan benar padahal dungu biadab,2,1
bersyukur dalam keadaan apapun apa yang sudah tuhan berikan harus diterima dan harus menayukuri segala,2,0
apalagi kekayaan sby hasil korupsi semua,1,0
masih ada yg berani bilang pk jokowi pro aseng asing smoga sllu sehat pak jokowi,5,1
kopar kapir preet pret buktinya junjungan loe si uno ngilmu nya ke negeri kapir,6,0
iyaaa sas kebetulan bgt kemaren masih di kosan aamiin moga bodong2an alias bukan bom,7,0
ahok itu pa rocky kok ga dianggap menistakan agama tora mungkin karena pa rocky orang baik pa dan dia sudah minta maaf ngapain diperpanjang netizen maaf anda telah kami terima tapi proses hukum harus tetap berjalan also netizen,8,0
kenapa bukan jokowi yang lo suruh mundur,1,0
otak mulut dan jari tidak sinkron ternyata sangat lucu sekali kalau say,1,0
lebih baik mundur pak,0,0
tahukah anda apa persamaan antara malin kundang dengan ahok mereka berdua sama sam durhaka asbak iklanahokjahat kampanyeahokjahat,3,0
belum ada jawaban dari ketum icmi apa para intelektual muslim mampu dan berani bahas terbuka muhammad nabi gadungan,2,0
gampang banget edan,0,1
jika anda mencari sahabat yang tanpa cacat anda tidak akan pernah punya sahabat,0,1
asuog wasite picek jingan,4,1
ah dasar jablay murah,0,1
debatfinalpilkadajkt mati kau hok,3,0
mohon pencerahan secara etika politik internasional sbg gubernur melakukan hub bilateral dg negara lain serta relevansi dg tugas amp kewajiban utk dki terimakasih,7,0
salah cung gw bukan bani kacung dungu spt lu itu siapapun yg memerintah klo ngawur kebijakannya spt yg skrg ini bakal gw tentang,9,2
sejak awal banget kayaknya masih ratusan atau malah puluhan waktu itu belum rame orang kirim tubir jadi adminnya yang mancing inget dulu saya dulu debat lgbt kan nah saya pura pura jadi cons eh dikira homophobic beneran dan dihujat sekar,3,1
sdm yang kuat dan berdaya saing tinggi dalam berbagai aspek akan mendukung peningkatan pembangunan baik di bidang ekonomi maupun di bidang sosial dan budaya,1,0
98 sebenernya gw ogah temenan ama lu di rl rp ga anjing gw bercanda jan nangis lagi wkwk gatau lu orangnya bikin gw banyak bacot udah si itu ae wkwk,16,2
setan itu semoga mencret 3 minggu berturut2 terus terlindas truk suhu,1,1
dr isb sklgs jg testcase kalau kt bs berjamaah beli saham bris kt jg bs berjamaah u beli2 yg lain bris jg nanti akan mikir resiko reputasi kalau pemegangsaham mayoritas macam2 amp brniat mngerdilkan pmgang saham minoritas yg dimiliki kopindo yg,25,0
insyaalloh diindonesia nantinya setelah ganti presiden rakyat negri ini juga akan bahu membahu menyelesaikan masalah2nya,4,0
tomohon juga merupakan pusat pembelajaran agama kristen dan katolik ada tempat khusus untuk berdoa dan meditasi yang disebut bukit kasih sebuah tempat suci yang indah dan tenang tomohoninternationalflowerfestival im,1,0
zefanya caenliana angeline winata lahir di solo tanggal 23 juli 2001 mempunyai mata yang sipit dan suara yang cempreng dilahirkan dari keluarga yang sangat perfeksionis sehingga membuat anak ini tu,1,1
sedih ustad lihat nasib anak negeri punya pemimpin kacung dan aparat keparat,0,1
serius leluhur2 gw yg dari dayak ni kalo gak dukun ya bandar togel makanya gw kaya gini separo pandai membaca orang lain separo bejad,12,0
truskan kedunguanmu bong sampe bangsa ini tercabik2 tinggal saya pungutin saja sampah kaya elo satu2 dasar mata sipit,7,3
terlalu suuzon nih rezim,1,1
para cebong kanan tetap ngotot cawapres untuk pak prabowo harus dari kalangan mereka 11 12 kek cebong kiri,3,2
bertujuan memilih anggota dpr dan konstituante adapun yang menjadi 4 besar partai pemenang pemilu tersebut adalah pni masyumi nu pki,4,0
hah cuman buat orang kek lu pecun dang aduh gk bgt orang kaya lu di bacotin dikit aja udah sesek napas,13,1
ya emg lu bodo,3,0
juga dilakukan pembuatan sarana sanitasi berupa 30 jamban untuk 30 kepala keluarga kk dengan anggaran rp2 juta per unit,1,1
menerima kunjungan dari duta besar palestina untuk indonesia zuhair saleh muhammad al shun dengan semangat persahabatan antara ketua umum pdi perjuangan yang juga presiden indonesia kelima megawati sukarnoputri dengan yasser arafat,2,0
otak kalian gak sampe sih makanya professor aja kalian remehkan udah pada minum kencing onta blom biar pintar,6,1
aaaa siap siap jadi koorwil dpc pondok cina nih smashblast bismaniac smashisback,5,0
batalkan pelantikan anies gw lbh rela jkt dipimpin plt gub drpd gub hasil pemilihan kepala daerah berlumur sara,6,0
emg gembel,1,1
ahoker siap bela penista agama,0,0
6 yang dimaksud dengan angkatan kelima yang disampaikan pki pada masa demokrasi terpimpin adalah laskar laskar perjuangan yang dibentuk oleh para pemuda diberbagai daerah b kekuatan pertahanan diluar empat angkatan yang sudah ada,2,0
oh shit gua yg kemaren lu bilang apatis ujungnya yg nyelesein semua makan tuh bacot lu,8,1
afgan sukses taklukan bandung di sides indonesia tour 2016 via,0,0
itulah kontrak karya pertama freeport kk i kontrak karya tersebut merupakan bahan promosi yang dibawa julius tahija untuk memperkenalkan indonesia ke luar negeri dan misi pertamanya adalah mempromosikan kebijakan penanaman modal asing ke australia fr,1,1
astaga bolot banget dia,0,0
bos sama kacungnya sama otaknya pekok,1,0
itu yg cewe pake kerudung ngapain ya setiap kali konfrensi pers ada aja pencitraan islami kaliiii bwahaha,8,0
gubernur super anies baswedan memberikan kuliah di universitas hassan ii casablanca maroko,2,0
part3 ini baru namany ngentot bo ol org kl pakai pelumas alami memg berasa legitt realava,8,1
dan dia kek milih milihh nge replay nyeee ke gue doang klo ama kaum adam mah melipiirrrr doi tp ntar lg jg akan gue blok ajah daghh sama sekali ga ada mnfaatnya mbaca komen dr kaum bani kampret tsb,18,2
deokspatch amigo tv right now nimdle yg di kbs gue lupa judul sma yg cina korea apa gtu lucu pokoknya,5,0
m bodoh banget mun kebanyakan anak ya begini hina banget sial y untung saya udah modar,3,3
udah ya cukup aku meladeni kamu silahkan ngobrol dng sesama kampret maaf lho ya cebong itu sbnrnya org2 sibuk perlu meluangkan waktu utk interaksi dng kampret2 pengangguran spt elo,12,2
yg paling bahaya bukan tingkat marahnya org pemarah tapi marahnya org yg capek sabar batas capeknya org sabar itu kapan,7,0
hak asasi manusia tidak hanya tentang hak sosial politik tetapi juga hak ekonomi sosial budaya pihri buhaerah,1,0
partai pki indonesia pertama siapakah namanya ajaran ini datang dari cina rusia pki pengkhianat pancasila,3,0
aku hbs pulang skillab hbs puyeng krn aku budek gabisa bedain suara redup jantung pas dipalpasi itu gmn semua terasa sama dikupingku trs pas pulang liat tl w1 ternyata jadi konser aku makin poseng,11,1
lapor apa dijelaskan islam sangat hina mui fpi dll tak mau dan mampu membantah,3,1
asmara pujangga kere dg jablay asuransi garap sawah yukk wkwk,2,1
haha si paltiwest gak paham sejarah,3,0
bangga 800 t itu gede bilangnya bisa buat bayar utang pas dibilangin itu untuk 23 tahun jadinya kecil malah nyerang rezim kemarin ngapain aja dapat berapa trus aku kudu piye jum,7,1
josss gandoskui memek nya,1,1
klo gue sich efek nya jadi jijik aja ngelihat cewek murahan yg suka nawarin diri atau nawarin teman nya ke lelaki hidung zebra,7,1
nk marah2 tk payah buat grab la woi g duduk diam2 dalam rumah stupid idiot punya org sbb bodoh dia tahap tk blh bwk bincang dh,10,2
cebong pemuja ahok pada meratap di thread ini,0,1
selamat tengahari semua seperti biasa di yik foong tak lari seperti hari2 biasa berbau bawang serta dipenuhi komunis,3,1
intoleransi adalah mitos bagi komunis yg takut agama teroris adalah mitos alat komunis memarginalkan agama korupsi adalah mitos bagi maling teriak dirampok,1,2
